titulo:ID(Pelicula-ID),anio:int,genero
The Revenant,2015,Drama
Once Upon a Time in Hollywood,2019,Comedia
Titanic,1997,Romance
Inception,2010,Acción
The Wolf of Wall Street,2013,Drama
The Great Gatsby,2013,Drama
Moneyball,2011,Drama
Baby Driver,2017,Acción
Cinderella,2015,Musical
Deadpool 2,2018,Acción
Deadpool,2016,Acción
The Big Short,2015,Comedia
Avengers,2012,Acción
Spider-Man,2002,Acción
Spider-Man 2,2004,Acción
Spider-Man 3,2007,Acción
Spider-Man: Homecoming,2017,Acción
Jumanji: Welcome to the jungle,2017,Comedia
Mamma Mia!,2008,Musical
Mamma Mia! Here We Go Again,2018,Musical
Ocean's Eleven,2001,Acción
Ocean's Twelve,2004,Acción
Batman Begins,2005,Acción
The Dark Knight,2008,Acción
The Dark Knight Rises,2012,Acción
The Hunger Games,2012,Acción
X-Men: First Class,2015,Acción
X-Men: Days of Future Past,2015,Acción
Star Wars: A New Hope,1977,Ciencia ficción
Star Wars: The Empire Strikes Back,1980,Ciencia ficción
Star Wars: Attack of the Clones,2002,Ciencia ficción
Star Wars: Revenge of the Sith,2005,Ciencia ficción
Star Wars: Return of the Jedi,1983,Ciencia ficción
Star Wars: The Phantom Menace,1999,Ciencia ficción
Suicide Squad,2016,Acción
American Psycho,2000,Thriller
Wonder Woman,2017,Acción
Man of Steel,2013,Acción
Doctor Strange,2016,Acción
The Notebook,2015,Romance
Iron Man,2008,Acción
Iron Man 2,2010,Acción
Iron Man 3,2013,Acción
Captain America: The First Avenger,2011,Acción
Captain America: Winter Soldier,2014,Acción
Captain America: Civil War,2016,Acción
21 Jump Street,2012,Comedia
Knives Out,2019,Comedia
Blade Runner 2049,2017,Ciencia ficción
Mad Max: Fury Road,2015,Acción
22 Jump Street,2014,Comedia
The Amazing Spider-Man 2,2014,Acción
La La Land,2016,Musical
Avengers: Age of Ultron,2015,Acción
Avengers: Infinity War,2018,Acción
Avengers: Endgame,2019,Acción
No Time to Die,2021,Acción
Aquaman,2018,Acción
Batman v Superman: Dawn of Justice,2016,Acción
Justice League,2017,Acción
Matrix,1999,Ciencia ficción
John Wick,2014,Acción
John Wick: Chapter 2,2017,Acción
John Wick: Chapter 3 - Parabellum,2019,Acción
10 Things I Hate About You,1999,Romance
Spider-Man: Far From Home,2019,Acción
Brokeback Mountain,2005,Romance
Zodiac,2007,Crimen
The Vow,2012,Romance
"Crazy, Stupid, Love",2011,Comedia
Harry Potter and the Philosopher's Stone,2001,Fantasía
Harry Potter and the Chamber of Secrets,2002,Fantasía
Harry Potter and the Prisioner of Azkaban,2004,Fantasía
Harry Potter and the Goblet of Fire,2005,Fantasía
Harry Potter and the Order of the Phoenix,2007,Fantasía
Harry Potter and the Half-Blood Prince,2009,Fantasía
Harry Potter and the Deathly Hallows: Part 1,2010,Fantasía
Harry Potter and the Deathly Hallows: Part 2,2011,Fantasía
Beauty and the Beast,2017,Fantasía
Now You See Me,2013,Crimen
Now You See Me 2,2016,Crimen
The Social Network,2010,Drama
Baywatch,2017,Acción
The Greatest Showman,2017,Musical
Hobbs & Shaw,2019,Acción
"Extremely Wicked, Shockingly Evil and Vile",2019,Drama
Mirror Mirror,2012,Fantasía
Interstellar,2014,Ciencia Ficción
Zombieland,2009,Comedia
Zombieland: Double tap,2019,Comedia
American Hustle,2013,Crimen
Arrival,2016,Ciencia Ficción
The Man from U.N.C.L.E.,2015,Acción
The Amazing Spider-Man ,2012,Acción
